ID,name,full_name,nationality,league,club,age,birth_date,height_cm,weight_kg,eur_value,eur_wage
208722,S. Mané,Sadio Mané,Senegal,English Premier League,Liverpool,25,1992-04-10,175.0,69.0,39000000.0,175000.0
204963,Carvajal,Daniel Carvajal Ramos,Spain,Spanish Primera División,Real Madrid CF,25,1992-01-11,173.0,73.0,32000000.0,195000.0
202166,J. Draxler,Julian Draxler,Germany,French Ligue 1,Paris Saint-Germain,23,1993-09-20,187.0,72.0,39500000.0,120000.0
201399,M. Icardi,Mauro Icardi,Argentina,Italian Serie A,Inter,24,1993-02-19,181.0,75.0,42000000.0,105000.0
201024,K. Koulibaly,Kalidou Koulibaly,Senegal,Italian Serie A,Napoli,26,1991-06-20,195.0,89.0,32500000.0,96000.0
200316,T. Horn,Timo Horn,Germany,German Bundesliga,1. FC Köln,24,1993-05-12,192.0,90.0,31000000.0,39000.0
192774,K. Manolas,Kostas Manolas,Greece,Italian Serie A,Roma,26,1991-06-14,189.0,83.0,31500000.0,96000.0
192227,S. Mustafi,Shkodran Mustafi,Germany,English Premier League,Arsenal,25,1992-04-17,184.0,82.0,31500000.0,145000.0
191740,Ander Herrera,Ander Herrera Agüera,Spain,English Premier League,Manchester United,27,1989-08-14,182.0,70.0,32000000.0,190000.0
191202,N. Matić,Nemanja Matić,Serbia,English Premier League,Manchester United,28,1988-08-01,194.0,85.0,25000000.0,180000.0
189712,K. Strootman,Kevin Strootman,Netherlands,Italian Serie A,Roma,27,1990-02-13,186.0,78.0,35000000.0,105000.0
189505,Pedro,Pedro Rodríguez Ledesma,Spain,English Premier League,Chelsea,29,1987-07-28,169.0,65.0,30500000.0,200000.0
189117,R. Bürki,Roman Bürki,Switzerland,German Bundesliga,Borussia Dortmund,26,1990-11-14,187.0,85.0,26000000.0,69000.0
184120,Bruno,Bruno Soriano Llido,Spain,Spanish Primera División,Villarreal CF,33,1984-06-12,184.0,73.0,18500000.0,59000.0
181458,I. Perišić,Ivan Perišić,Croatia,Italian Serie A,Inter,28,1989-02-02,187.0,80.0,31500000.0,110000.0
180930,E. Džeko,Edin Džeko,Bosnia Herzegovina,Italian Serie A,Roma,31,1986-03-17,193.0,84.0,28000000.0,115000.0
180403,Willian,Willian Borges da Silva,Brazil,English Premier League,Chelsea,28,1988-08-09,175.0,77.0,31500000.0,200000.0
179846,S. Khedira,Sami Khedira,Germany,Italian Serie A,Juventus,30,1987-04-04,189.0,89.0,29000000.0,160000.0
179783,R. Fährmann,Ralf Fährmann,Germany,German Bundesliga,FC Schalke 04,28,1988-09-27,196.0,95.0,25000000.0,54000.0
178750,Sergio Asenjo,Sergio Asenjo Andrés,Spain,Spanish Primera División,Villarreal CF,28,1989-06-28,189.0,87.0,25000000.0,46000.0
178088,Juan Mata,Juan Manuel Mata García,Spain,English Premier League,Manchester United,29,1988-04-28,170.0,63.0,30500000.0,195000.0
177509,M. Benatia,Medhi Benatia,Morocco,Italian Serie A,Juventus,30,1987-04-17,190.0,92.0,23000000.0,145000.0
167397,Falcao,Radamel Falcao García Zarate,Colombia,French Ligue 1,AS Monaco,31,1986-02-10,177.0,72.0,28000000.0,68000.0
165229,L. Koscielny,Laurent Koscielny,France,English Premier League,Arsenal,31,1985-09-10,186.0,75.0,21000000.0,150000.0
164468,G. Cahill,Gary Cahill,England,English Premier League,Chelsea,31,1985-12-19,193.0,86.0,21000000.0,160000.0
146530,Dani Alves,Daniel Alves da Silva,Brazil,French Ligue 1,Paris Saint-Germain,34,1983-05-06,172.0,68.0,9000000.0,115000.0
143076,A. Gómez,Alejandro Gómez,Argentina,Italian Serie A,Atalanta,29,1988-02-15,165.0,68.0,31000000.0,60000.0
106231,Aduriz,Aritz Aduriz Zubeldia,Spain,Spanish Primera División,Athletic Club de Bilbao,36,1981-02-11,182.0,78.0,11000000.0,38000.0
231747,K. Mbappé,Kylian Mbappé,France,French Ligue 1,Paris Saint-Germain,18,1998-12-20,178.0,73.0,41500000.0,31000.0
231443,O. Dembélé,Ousmane Dembélé,France,Spanish Primera División,FC Barcelona,20,1997-05-15,178.0,67.0,40000000.0,150000.0
220971,N. Keïta,Naby Keïta,Guinea,German Bundesliga,RB Leipzig,22,1995-02-10,172.0,64.0,34000000.0,68000.0
216460,J. Giménez,José María Giménez,Uruguay,Spanish Primera División,Atlético Madrid,22,1995-01-20,185.0,76.0,28500000.0,53000.0
215316,G. Rulli,Gerónimo Rulli,Argentina,Spanish Primera División,Real Sociedad,25,1992-05-20,189.0,84.0,25500000.0,28000.0
213565,T. Lemar,Thomas Lemar,France,French Ligue 1,AS Monaco,21,1995-11-12,170.0,58.0,38500000.0,37000.0
212814,João Mário,João Mário Naval Costa Eduardo,Portugal,Italian Serie A,Inter,24,1993-01-19,179.0,73.0,34000000.0,70000.0
212190,N. Süle,Niklas Süle,Germany,German Bundesliga,FC Bayern Munich,21,1995-09-03,195.0,97.0,30500000.0,78000.0
210257,Ederson,Ederson Santana de Moraes,Brazil,English Premier League,Manchester City,23,1993-08-17,188.0,86.0,26000000.0,87000.0
209658,L. Goretzka,Leon Goretzka,Germany,German Bundesliga,FC Schalke 04,22,1995-02-06,189.0,79.0,34000000.0,46000.0
209499,Fabinho,Fábio Henrique Tavares,Brazil,French Ligue 1,AS Monaco,23,1993-10-23,188.0,78.0,29500000.0,37000.0
209331,M. Salah,Mohamed Salah,Egypt,English Premier League,Liverpool,25,1992-06-15,175.0,71.0,32500000.0,135000.0
208596,A. Belotti,Andrea Belotti,Italy,Italian Serie A,Torino,23,1993-12-20,181.0,72.0,37000000.0,58000.0
208448,E. Forsberg,Emil Forsberg,Sweden,German Bundesliga,RB Leipzig,25,1991-10-23,179.0,78.0,31500000.0,75000.0
207865,Marquinhos,Marcos Aoas Corrêa,Brazil,French Ligue 1,Paris Saint-Germain,23,1994-05-14,183.0,75.0,30500000.0,75000.0
207566,William Carvalho,William Silva de Carvalho,Portugal,Portuguese Primeira Liga,Sporting CP,25,1992-04-07,187.0,83.0,27500000.0,21000.0
205600,S. Umtiti,Samuel Umtiti,France,Spanish Primera División,FC Barcelona,23,1993-11-14,182.0,75.0,29500000.0,135000.0
204485,R. Mahrez,Riyad Mahrez,Algeria,English Premier League,Leicester City,26,1991-02-21,179.0,67.0,30500000.0,88000.0
203376,V. van Dijk,Virgil van Dijk,Netherlands,English Premier League,Southampton,25,1991-07-08,193.0,92.0,27500000.0,89000.0
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,Brazil,English Premier League,Liverpool,25,1991-10-02,181.0,76.0,33000000.0,135000.0
200888,Danilo Pereira,Danilo Luís Hélio Pereira,Portugal,Portuguese Primeira Liga,FC Porto,25,1991-09-09,188.0,83.0,27500000.0,18000.0
199715,Vitolo,Víctor Machín Pérez,Spain,Spanish Primera División,UD Las Palmas,27,1989-11-02,184.0,80.0,27000000.0,68000.0
199482,A. Lopes,Anthony Lopes,Portugal,French Ligue 1,Olympique Lyonnais,26,1990-10-01,184.0,81.0,21500000.0,60000.0
198176,S. de Vrij,Stefan de Vrij,Netherlands,Italian Serie A,Lazio,25,1992-02-05,189.0,78.0,29000000.0,56000.0
198009,M. Perin,Mattia Perin,Italy,Italian Serie A,Genoa,24,1992-11-10,188.0,77.0,25000000.0,28000.0
197061,J. Matip,Joel Matip,Cameroon,English Premier League,Liverpool,25,1991-08-08,195.0,90.0,26500000.0,110000.0
193474,I. Gueye,Idrissa Gueye,Senegal,English Premier League,Everton,27,1989-09-26,174.0,66.0,24500000.0,115000.0
192629,Iago Aspas,Iago Aspas Juncal,Spain,Spanish Primera División,RC Celta de Vigo,29,1987-08-01,176.0,67.0,26000000.0,39000.0
192387,C. Immobile,Ciro Immobile,Italy,Italian Serie A,Lazio,27,1990-02-20,185.0,85.0,30500000.0,70000.0
192366,N. Otamendi,Nicolás Otamendi,Argentina,English Premier League,Manchester City,29,1988-02-12,183.0,81.0,20000000.0,140000.0
191180,J. Pastore,Javier Pastore,Argentina,French Ligue 1,Paris Saint-Germain,28,1989-06-20,187.0,78.0,25500000.0,100000.0
189513,Parejo,Daniel Parejo Muñoz,Spain,Spanish Primera División,Valencia CF,28,1989-04-16,182.0,74.0,25500000.0,45000.0
189358,S. Kagawa,Shinji Kagawa,Japan,German Bundesliga,Borussia Dortmund,28,1989-03-17,175.0,68.0,26000000.0,75000.0
189125,G. Bonaventura,Giacomo Bonaventura,Italy,Italian Serie A,Milan,27,1989-08-22,181.0,75.0,26500000.0,115000.0
189068,B. Dost,Bas Dost,Netherlands,Portuguese Primeira Liga,Sporting CP,28,1989-05-31,196.0,89.0,27000000.0,28000.0
188377,K. Walker,Kyle Walker,England,English Premier League,Manchester City,27,1990-05-28,183.0,83.0,24000000.0,130000.0
188152,Oscar,Oscar dos Santos Emboaba,Brazil,,,25,1991-09-09,179.0,67.0,0.0,0.0
187936,S. N'Zonzi,Steven N'Zonzi,France,Spanish Primera División,Sevilla FC,28,1988-12-15,190.0,75.0,21000000.0,25000.0
186547,M. Musacchio,Mateo Musacchio,Argentina,Italian Serie A,Milan,26,1990-08-26,180.0,73.0,27000000.0,105000.0
185239,O. Toprak,Ömer Toprak,Turkey,German Bundesliga,Borussia Dortmund,27,1989-07-21,186.0,83.0,24500000.0,66000.0
185020,José Callejón,José María Callejón Bueno,Spain,Italian Serie A,Napoli,30,1987-02-11,178.0,73.0,24500000.0,87000.0
184826,Adrien Silva,Adrien S. Perruchet Silva,Portugal,,,28,1989-03-15,175.0,69.0,0.0,0.0
184431,S. Giovinco,Sebastian Giovinco,Italy,USA Major League Soccer,Toronto FC,30,1987-01-26,163.0,61.0,25000000.0,15000.0
184144,N. Gaitán,Nicolás Gaitán,Argentina,Spanish Primera División,Atlético Madrid,29,1988-02-23,173.0,68.0,25500000.0,70000.0
181783,M. Mandžukić,Mario Mandžukić,Croatia,Italian Serie A,Juventus,31,1986-05-21,190.0,86.0,23500000.0,135000.0
180819,A. Lallana,Adam Lallana,England,English Premier League,Liverpool,29,1988-05-10,172.0,73.0,25000000.0,135000.0
179784,B. Höwedes,Benedikt Höwedes,Germany,Italian Serie A,Juventus,29,1988-02-29,187.0,82.0,20000000.0,50000.0
178562,E. Banega,Éver Banega,Argentina,Spanish Primera División,Sevilla FC,29,1988-06-29,174.0,71.0,25500000.0,27000.0
178005,Rui Patrício,Rui Pedro dos Santos Patrício,Portugal,Portuguese Primeira Liga,Sporting CP,29,1988-02-15,190.0,84.0,17500000.0,19000.0
177683,Y. Sommer,Yann Sommer,Switzerland,German Bundesliga,Borussia Mönchengladbach,28,1988-12-17,183.0,79.0,21000000.0,39000.0
177388,D. Payet,Dimitri Payet,France,French Ligue 1,Olympique de Marseille,30,1987-03-29,175.0,77.0,24500000.0,46000.0
177358,M. Schneiderlin,Morgan Schneiderlin,France,English Premier League,Everton,27,1989-11-08,185.0,75.0,24500000.0,115000.0
176769,Jonas,Jonas Gonçalves Oliveira,Brazil,Portuguese Primeira Liga,SL Benfica,33,1984-04-01,182.0,74.0,16500000.0,21000.0
173771,L. Piszczek,Łukasz Piszczek,Poland,German Bundesliga,Borussia Dortmund,32,1985-06-03,184.0,79.0,14500000.0,66000.0
170481,E. Garay,Ezequiel Garay,Argentina,Spanish Primera División,Valencia CF,30,1986-10-10,189.0,90.0,19000000.0,40000.0
167905,A. Valencia,Antonio Valencia,Ecuador,English Premier League,Manchester United,31,1985-08-04,180.0,83.0,17000000.0,130000.0
163587,K. Schmeichel,Kasper Schmeichel,Denmark,English Premier League,Leicester City,30,1986-11-05,189.0,89.0,19000000.0,65000.0
162240,M. Dembélé,Moussa Dembélé,Belgium,English Premier League,Tottenham Hotspur,29,1987-07-16,185.0,88.0,25000000.0,115000.0
161956,Borja Valero,Borja Valero Iglesias,Spain,Italian Serie A,Inter,32,1985-01-12,175.0,73.0,20000000.0,80000.0
159147,L. Perrin,Loïc Perrin,France,French Ligue 1,AS Saint-Étienne,31,1985-08-07,181.0,80.0,17500000.0,46000.0
158963,L. Biglia,Lucas Biglia,Argentina,Italian Serie A,Milan,31,1986-01-30,178.0,63.0,17500000.0,105000.0
146748,Diego López,Diego López Rodríguez,Spain,Spanish Primera División,RCD Espanyol,35,1981-11-03,196.0,89.0,6000000.0,19000.0
146562,Santi Cazorla,Santiago Cazorla González,Spain,English Premier League,Arsenal,32,1984-12-13,168.0,66.0,19500000.0,130000.0
142754,J. Mascherano,Javier Mascherano,Argentina,Spanish Primera División,FC Barcelona,33,1984-06-08,174.0,73.0,10500000.0,155000.0
139869,W. Sneijder,Wesley Sneijder,Netherlands,French Ligue 1,OGC Nice,33,1984-06-09,170.0,72.0,15500000.0,47000.0
139068,Nani,Luís Carlos Almeida da Cunha,Portugal,Italian Serie A,Lazio,30,1986-11-17,177.0,68.0,24500000.0,47000.0
53302,D. De Rossi,Daniele De Rossi,Italy,Italian Serie A,Roma,33,1983-07-24,184.0,83.0,10500000.0,73000.0
24630,José Reina,José Manuel Reina Páez,Spain,Italian Serie A,Napoli,34,1982-08-31,188.0,92.0,10500000.0,59000.0
20775,Quaresma,Ricardo Andrade Quaresma Bernardo,Portugal,Turkish Süper Lig,Beşiktaş JK,33,1983-09-26,175.0,67.0,15500000.0,67000.0
20289,Y. Touré,Yaya Touré,Ivory Coast,English Premier League,Manchester City,34,1983-05-13,189.0,90.0,12500000.0,145000.0
5479,Casillas,Iker Casillas Fernández,Spain,Portuguese Primeira Liga,FC Porto,36,1981-05-20,185.0,84.0,3500000.0,10000.0
230621,G. Donnarumma,Gianluigi Donnarumma,Italy,Italian Serie A,Milan,18,1999-02-25,196.0,90.0,28500000.0,35000.0
222492,L. Sané,Leroy Sané,Germany,English Premier League,Manchester City,21,1996-01-11,183.0,75.0,34500000.0,125000.0
219809,T. Bakayoko,Tiémoué Bakayoko,France,English Premier League,Chelsea,22,1994-08-17,189.0,85.0,26000000.0,105000.0
219683,C. Tolisso,Corentin Tolisso,France,German Bundesliga,FC Bayern Munich,22,1994-08-03,181.0,78.0,30500000.0,98000.0
216594,N. Fekir,Nabil Fekir,France,French Ligue 1,Olympique Lyonnais,23,1993-07-18,173.0,78.0,29000000.0,70000.0
